position	chipx	chipy	micx	micy	micz	posref	focusimage	camRotation
32	36292.5	11437.5	62597.5	37843.9	2789.3	M1142979\pos32\posref\20210618T211453Z_60cd0ccd88a46443ec6f0b1a.blob	M1142979\pos32\focus\20210618T211454Z_60cd0cce88a46443ec6f0b1b.blob	90.524
33	36292.5	12062.5	62596.8	38470.4	2781.3	M1142979\pos33\posref\20210618T211517Z_60cd0ce588a46443ec6f0b58.blob	M1142979\pos33\focus\20210618T211517Z_60cd0ce588a46443ec6f0b59.blob	90.524
34	36292.5	12687.5	62596.0	39096.9	2784.3	M1142979\pos34\posref\20210618T211539Z_60cd0cfb88a46443ec6f0b94.blob	M1142979\pos34\focus\20210618T211539Z_60cd0cfb88a46443ec6f0b95.blob	90.524
35	36292.5	13312.5	62595.3	39723.4	2782.3	M1142979\pos35\posref\20210618T211601Z_60cd0d1188a46443ec6f0bd1.blob	M1142979\pos35\focus\20210618T211602Z_60cd0d1288a46443ec6f0bd2.blob	90.524
36	36292.5	13937.5	62594.6	40350.0	2784.8	M1142979\pos36\posref\20210618T211624Z_60cd0d2888a46443ec6f0c0c.blob	M1142979\pos36\focus\20210618T211625Z_60cd0d2988a46443ec6f0c0d.blob	90.524
37	36292.5	14562.5	62593.8	40976.5	2780.3	M1142979\pos37\posref\20210618T211657Z_60cd0d4988a46443ec6f0c50.blob	M1142979\pos37\focus\20210618T211657Z_60cd0d4988a46443ec6f0c51.blob	90.524
38	36292.5	15187.5	62593.1	41603.0	2783.8	M1142979\pos38\posref\20210618T211720Z_60cd0d6088a46443ec6f0c8a.blob	M1142979\pos38\focus\20210618T211720Z_60cd0d6088a46443ec6f0c8b.blob	90.524
39	36292.5	15812.5	62592.4	42229.6	2781.3	M1142979\pos39\posref\20210618T211741Z_60cd0d7588a46443ec6f0cbf.blob	M1142979\pos39\focus\20210618T211741Z_60cd0d7588a46443ec6f0cc0.blob	90.524
40	36809.5	8312.5	63117.8	34711.9	2694.3	M1142979\pos40\posref\20210618T211806Z_60cd0d8e88a46443ec6f0cfb.blob	M1142979\pos40\focus\20210618T211806Z_60cd0d8e88a46443ec6f0cfc.blob	90.524
41	36809.5	8937.5	0.0	0.0	0.0			
42	36809.5	9562.5	63116.4	35965.0	2807.3	M1142979\pos42\posref\20210618T211913Z_60cd0dd188a46443ec6f0d64.blob	M1142979\pos42\focus\20210618T211913Z_60cd0dd188a46443ec6f0d65.blob	90.524
43	36809.5	10187.5	63115.6	36591.5	2808.8	M1142979\pos43\posref\20210618T211936Z_60cd0de888a46443ec6f0d9d.blob	M1142979\pos43\focus\20210618T211936Z_60cd0de888a46443ec6f0d9e.blob	90.524
44	36809.5	10812.5	63114.9	37218.0	2808.8	M1142979\pos44\posref\20210618T211958Z_60cd0dfe88a46443ec6f0dd5.blob	M1142979\pos44\focus\20210618T211958Z_60cd0dfe88a46443ec6f0dd6.blob	90.524
45	36809.5	11437.5	63114.2	37844.6	2786.3	M1142979\pos45\posref\20210618T212020Z_60cd0e1588a46443ec6f0e10.blob	M1142979\pos45\focus\20210618T212021Z_60cd0e1588a46443ec6f0e11.blob	90.524
46	36809.5	12062.5	63113.4	38471.1	2779.8	M1142979\pos46\posref\20210618T212043Z_60cd0e2b88a46443ec6f0e4d.blob	M1142979\pos46\focus\20210618T212044Z_60cd0e2c88a46443ec6f0e4e.blob	90.524
47	36809.5	12687.5	63112.7	39097.6	2784.3	M1142979\pos47\posref\20210618T212107Z_60cd0e4388a46443ec6f0e8a.blob	M1142979\pos47\focus\20210618T212107Z_60cd0e4388a46443ec6f0e8b.blob	90.524
48	36809.5	13312.5	63112.0	39724.1	2781.8	M1142979\pos48\posref\20210618T212129Z_60cd0e5988a46443ec6f0ec6.blob	M1142979\pos48\focus\20210618T212129Z_60cd0e5a88a46443ec6f0ec7.blob	90.524
49	36809.5	13937.5	63111.3	40350.7	2781.8	M1142979\pos49\posref\20210618T212152Z_60cd0e7088a46443ec6f0f02.blob	M1142979\pos49\focus\20210618T212152Z_60cd0e7088a46443ec6f0f03.blob	90.524
50	36809.5	14562.5	63110.5	40977.2	2782.3	M1142979\pos50\posref\20210618T212214Z_60cd0e8688a46443ec6f0f3d.blob	M1142979\pos50\focus\20210618T212215Z_60cd0e8788a46443ec6f0f3e.blob	90.524
51	36809.5	15187.5	63109.8	41603.7	2783.3	M1142979\pos51\posref\20210618T212238Z_60cd0e9e88a46443ec6f0f7a.blob	M1142979\pos51\focus\20210618T212238Z_60cd0e9e88a46443ec6f0f7b.blob	90.524
52	36809.5	15812.5	63109.1	42230.3	2781.8	M1142979\pos52\posref\20210618T212301Z_60cd0eb588a46443ec6f0fb5.blob	M1142979\pos52\focus\20210618T212301Z_60cd0eb588a46443ec6f0fb6.blob	90.524
53	37326.5	8312.5	63634.6	34712.6	2810.3	M1142979\pos53\posref\20210618T212324Z_60cd0ecc88a46443ec6f0ff1.blob	M1142979\pos53\focus\20210618T212324Z_60cd0ecc88a46443ec6f0ff2.blob	90.524
54	37326.5	8937.5	63633.8	35339.1	2699.3	M1142979\pos54\posref\20210618T212357Z_60cd0eed88a46443ec6f1032.blob	M1142979\pos54\focus\20210618T212357Z_60cd0eed88a46443ec6f1033.blob	90.524
55	37326.5	9562.5	63633.1	35965.7	2690.3	M1142979\pos55\posref\20210618T212431Z_60cd0f0f88a46443ec6f1073.blob	M1142979\pos55\focus\20210618T212431Z_60cd0f0f88a46443ec6f1074.blob	90.524
56	37326.5	10187.5	63632.4	36592.2	2805.8	M1142979\pos56\posref\20210618T212453Z_60cd0f2588a46443ec6f10a8.blob	M1142979\pos56\focus\20210618T212453Z_60cd0f2588a46443ec6f10a9.blob	90.524
57	37326.5	10812.5	63631.6	37218.7	2689.8	M1142979\pos57\posref\20210618T212527Z_60cd0f4788a46443ec6f10ea.blob	M1142979\pos57\focus\20210618T212527Z_60cd0f4788a46443ec6f10eb.blob	90.524
58	37326.5	11437.5	63630.9	37845.2	2669.3	M1142979\pos58\posref\20210618T212601Z_60cd0f6988a46443ec6f112a.blob	M1142979\pos58\focus\20210618T212601Z_60cd0f6988a46443ec6f112c.blob	90.524
59	37326.5	12062.5	63630.2	38471.8	2663.8	M1142979\pos59\posref\20210618T212634Z_60cd0f8a88a46443ec6f116b.blob	M1142979\pos59\focus\20210618T212634Z_60cd0f8a88a46443ec6f116c.blob	90.524
60	37326.5	12687.5	63629.4	39098.3	2667.8	M1142979\pos60\posref\20210618T212657Z_60cd0fa188a46443ec6f11a2.blob	M1142979\pos60\focus\20210618T212657Z_60cd0fa188a46443ec6f11a3.blob	90.524
61	37326.5	13312.5	63628.7	39724.8	2782.8	M1142979\pos61\posref\20210618T212720Z_60cd0fb888a46443ec6f11db.blob	M1142979\pos61\focus\20210618T212720Z_60cd0fb888a46443ec6f11dc.blob	90.524
62	37326.5	13937.5	63628.0	40351.4	2781.3	M1142979\pos62\posref\20210618T212742Z_60cd0fcf88a46443ec6f1211.blob	M1142979\pos62\focus\20210618T212743Z_60cd0fcf88a46443ec6f1212.blob	90.524
63	37326.5	14562.5	63627.3	40977.9	2781.8	M1142979\pos63\posref\20210618T212805Z_60cd0fe588a46443ec6f124f.blob	M1142979\pos63\focus\20210618T212806Z_60cd0fe688a46443ec6f1250.blob	90.524
64	37326.5	15187.5	63626.5	41604.4	2783.3	M1142979\pos64\posref\20210618T212828Z_60cd0ffc88a46443ec6f1288.blob	M1142979\pos64\focus\20210618T212828Z_60cd0ffc88a46443ec6f1289.blob	90.524
65	37326.5	15812.5	63625.8	42231.0	2780.8	M1142979\pos65\posref\20210618T212901Z_60cd101d88a46443ec6f12cb.blob	M1142979\pos65\focus\20210618T212901Z_60cd101d88a46443ec6f12cc.blob	90.524
